Designator,Mid X,Mid Y,Rotation,Layer
C1,116.2,-110.95,270.0,bottom
C2,112.8,-111.05,90.0,bottom
C3,105.0,-111.0,90.0,bottom
C4,108.1,-110.95,270.0,bottom
D2,161.0,-42.63,270.0,top
D3,155.0,-42.83,270.0,top
D4,118.5,-42.77,270.0,top
D5,112.8,-42.87,270.0,top
HC1,94.8,-69.59,180.0,top
J1,183.75,-56.2,270.0,top
J10,173.25,-91.83,0.0,top
J11,173.25,-102.33,0.0,top
J12,154.75,-91.83,0.0,top
J13,154.75,-102.33,0.0,top
J2,95.5,-96.5,270.0,top
J3,184.305,-96.5,90.0,top
J4,121.03,-55.5,90.0,top
J6,146.75,-91.87,0.0,top
J7,128.275,-91.87,0.0,top
J8,146.75,-102.33,0.0,top
J9,128.525,-102.37,0.0,top
R2,161.0,-37.9,270.0,bottom
R3,155.0,-37.9,270.0,bottom
R4,118.5,-37.64,270.0,bottom
R5,112.8,-37.64,270.0,bottom
SERVO1,170.36,-55.5,270.0,top
SERVO2,170.16,-49.5,270.0,top
SW1,183.6,-72.01,90.0,top
SW2,136.56,-49.2,270.0,top
TCRT1,153.62,-55.6,270.0,top
U1,112.625,-97.24,90.0,top
U2,136.63,-71.38,270.0,top
